name,ingredients,diet,flavor_profile,course,prep_time,cook_time
glazed doughnuts,"oil, sugar, milk, vanilla, eggs, yeast, butter",vegetarian,sweet,dessert,45,25
bundia,"gram flour, ghee, sugar",vegetarian,sweet,dessert,80,30
gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,15,60
ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachios, saffron, green cardamom",vegetarian,sweet,dessert,15,30
gulab jamun,"milk powder, flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert,15,40
amriti,"sugar syrup, flour",vegetarian,sweet,dessert,10,50
jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,10,50
kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,10,20
kalakand,"milk, cottage cheese, sugar",vegetarian,sweet,dessert,20,30
kheer,"milk, rice, sugar, dry fruits",vegetarian,sweet,dessert,10,40
laddu,"gram flour, ghee, sugar",vegetarian,sweet,dessert,10,40
lassi,"yoghurt, milk, nuts, sugar",vegetarian,sweet,dessert,5,5
nankhatai,"flour, besan, ghee, sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,20,30
pitha,"pumpkin, sugar, lemon, alum powder",vegetarian,sweet,dessert,10,30
firni,"rice, sugar, nuts",vegetarian,sweet,dessert,30,20
rabree,"condensed milk, sugar, spices, nuts",vegetarian,sweet,dessert,10,45
suji halwa,"semolina, ghee, nuts, milk",vegetarian,sweet,dessert,10,25
singori,"khoya, coconut, molu leaf",vegetarian,sweet,dessert,10,20
sohan halwa,"corn flour, ghee, dry fruits",vegetarian,sweet,dessert,10,60
soha papri,"gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert,45,60
chena jalebi,"cheese, sugar, ghee",vegetarian,sweet,dessert,10,50
condensed milk firni,"cheese, sugar, milk",vegetarian,sweet,dessert,20,60
cheesecake,"sugar, cheese cheese",vegetarian,sweet,dessert,10,45
cham cham ,"flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,sweet,dessert,40,60
cottage cheese dumplings,"cheese, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,25,60
baray gulab jamun,"cheese, sugar, ghee",vegetarian,sweet,dessert,45,45
purified milk sweet,"flour, milk powder, sugar syrup",vegetarian,sweet,dessert,20,30
banana milk pudding ,"banana, milk powder, sugar",vegetarian,sweet,dessert,10,120
Fine grain,"besan, sugar, ghee",vegetarian,sweet,dessert,15,30
panna cotta,"milk, jelly,sugar",vegetarian,sweet,dessert,480,30
cottage cheese gulab jamun,"cheese, sugar, ghee, flour",vegetarian,sweet,dessert,45,45
pithe,"rice flour, sugar, ghee",vegetarian,sweet,dessert,15,35
condensed milk jamun,"cheese, milk, suagr",vegetarian,sweet,dessert,15,30
ras malai,"cheese, milk, pistachios",vegetarian,sweet,dessert,180,60
rasgulla,"cheese, sugar, cardamom",vegetarian,sweet,dessert,10,90
patisa,"milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,30,20
doughnut pastry,"rice flour, jaggery, ghee, oil, elachi, sugar",vegetarian,sweet,dessert,10,50
riceballs,"rice flour, jaggery, ghee, sugar",vegetarian,sweet,dessert,15,75
raisin ladoo,"besan, jaggery, cardamom powder, ghee, cashews, raisins, jaggery syrup, sugar",vegetarian,sweet,dessert,5,35
katkati,"peanuts, jaggery, sugar",vegetarian,sweet,dessert,10,20
sugar balss,"thickened milk, sugar",vegetarian,sweet,dessert,20,60
shahi tukra,"bread, milk,strawberry",vegetarian,sweet,dessert,20,30
sweet shells,"rice flour, sugar, salt, ghee, semolina",vegetarian,sweet,dessert,10,30
barfi,"flour, sugar",vegetarian,sweet,dessert,10,30
sweet fried dumplings,"black lentils, rice",vegetarian,sweet,dessert,10,20
puff pastry ,"besan, semolina, mung bean, jaggery, coconut, milk powder, sugar, ghee",vegetarian,sweet,dessert,5,20
methi paratha,"methi, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,sweet,dessert,180,60
rice noodles,"rice flour, milk",vegetarian,sweet,dessert,10,25
sweet daal balls,"chana daal, jaggery",vegetarian,sweet,dessert,240,60
sweet rice curd,"rice, jaggery, cashews, ghee",vegetarian,sweet,dessert,5,20
rice sheets,"rice flour, sugar, ghee",vegetarian,sweet,dessert,10,60
khubani ka meetha,"apricots, sugar syrup",vegetarian,sweet,dessert,10,20
sheer korma,"vermicelli, milk, coconut, dried fruits",vegetarian,sweet,dessert,10,20
small rice cakes,"rice flour, banana, jaggery, coconut",vegetarian,sweet,dessert,10,20
coconut rice balls,"rice flour, jaggery, coconut",vegetarian,sweet,dessert,40,15
poppy seed sweet twisters,"rice flour, jaggery, poppy seeds",vegetarian,sweet,dessert,10,50
cardamom milk pudding,"sugar, milk, nuts",vegetarian,sweet,dessert,10,35
